No,Source Page Title,Source URL,Target URL,Domain Authority,Page Authority,Spam Score,Anchor Text,First Seen,Last Seen
1,"Danse orientale — Wikipédia","https://fr.wikipedia.org/wiki/Danse_orientale","https://lasourceensoi.com/le-baladi-une-facon-differente-de-se-preparer-a-laccouchement/",95,63,5,"le baladi une façon différente de se préparer à l'accouchement","2021-01-05","2026-02-08"
2,"WEB DIRECTORY","https://centralc.pages.dev/04/PQgoboPMOv","https://lasourceensoi.com/",92,41,null,"lasourceensoi.com","2024-08-27","2026-01-13"
3,"","https://wp.me/p4xWgi-cW","https://lasourceensoi.com/blog/?p=802",90,46,null,"","2021-04-03","2021-10-16"
4,"","https://www.aufeminin.com/bebe/8-activites-pour-maman-et-bebe-qui-ne-marche-pas-encore-s1408521.html","https://www.lasourceensoi.com/activites/postnatales/zumbapostnatal/",86,40,4,"la source en soi","2016-05-25","2025-02-26"
5,"","https://us2.campaign-archive.com/?u=57724f8024a09f7421bd8a459&id=b83c4bbb33","https://lasourceensoi.com/formations-professionnelles/julie-bonapace/formation-de-formateurs-bonapace-niveau-2/",85,40,6,"niveau ii","2019-12-03","2023-08-29"
6,"","https://heybouledegomme.overblog.com/au-secours-je-suis-enceinte","https://www.lasourceensoi.com/",81,38,1,"la source en soi","2022-04-22","2022-04-22"
7,"Lasourceensoi’s Competitors, Revenue, Number of Employees, Funding, Acquisitions & News - Owler Company Profile","https://www.owler.com/company/lasourceensoi","https://lasourceensoi.com/",74,36,1,"http://lasourceensoi.com","2023-12-01","2026-01-27"
8,"La source en Soi - 2554 Rue Beaubien E, Montréal, QC H1Y 1G3, Canada | Fresha","https://www.fresha.com/fr/lvp/la-source-en-soi-rue-beaubien-est-montreal-rwNrJ5","https://www.lasourceensoi.com/",62,36,1,"","2024-08-06","2026-02-23"
9,"Maternité et yoga : Zen en bedaine | Art de vivre | Voir.ca","https://voir.ca/voir-la-vie/art-de-vivre/2009/03/26/maternite-et-yoga-zen-en-bedaine/","https://www.lasourceensoi.com/",62,31,1,"www.lasourceensoi.com","2018-02-17","2026-03-22"
10,"Domains on ip 158.69.52.156","https://domains.tntcode.com/ip/158.69.52.156","https://lasourceensoi.com/",61,30,15,"","2025-02-20","2025-11-20"
11,"","https://www.soundflare.xyz/play/gM89Q5Eng_M/yebba-my-mind-sofar-nyc.html","https://lasourceensoi.com/",60,20,61,"www.soundflare.xyz","2021-10-23","2021-10-23"
12,"Post-partum - Un balado de Valérie Roberts","https://www.omnycontent.com/d/playlist/bf51a523-1f9d-4e51-9cdf-a8d501394d60/f7943144-f5bb-49b0-9ab8-b1000143e6ca/847a4d38-53ea-409a-9fc5-b10001623370/podcast.rss","https://lasourceensoi.com/",58,36,11,"https://lasourceensoi.com/","2024-07-01","2026-04-05"
13,"","https://preview.coupdepouce.com/mamans/grossesse/article/huit-activites-pour-la-future-maman","https://www.lasourceensoi.com/",57,29,1,"le centre mères et cie par la source en soi","2023-05-07","2023-05-07"
14,"","https://www.askmap.net/location/5145394/ca/la-source-en-soi-soins-mise-en-forme-et-cours-pr%C3%A9nataux-postnataux-famille","https://lasourceensoi.com/",55,35,46,"http://lasourceensoi.com/","2019-09-03","2022-10-15"
15,"","https://all-aged-domains.com/page-63b7d39eb8ca08e402239dc5ff0cdef4.html","https://lasourceensoi.com/",55,24,4,"lasourceensoi.com","2026-01-20","2026-01-20"
16,"Marie Bauer, Ostéopathie, Montréal | Lumino Santé","https://luminosante.sunlife.ca/fr/profil-du-professionnel-de-la-sante/osteopathie/la-source-en-soi/marie-bauer-688051-714482/","https://lasourceensoi.com/",54,32,1,"visitez le site web   ouvre le site externe dans une nouvelle fenêtre","2021-12-26","2026-02-25"
17,"","https://www.ellequebec.com/beaute/sante-et-forme/redevenir-mince-apres-l-accouchement/","https://www.lasourceensoi.com/",54,31,4,"lasourceensoi.com","2019-07-22","2024-06-25"
18,"","https://digitalcombination.com/yoga-bebe-k.html","https://lasourceensoi.com/wp-content/uploads/2018/12/yoga-postnatal.jpeg",54,21,13,"yoga postnatal maman bébé","2024-05-24","2024-05-24"
19,"","https://411.ca/business/profile/4045302","https://www.lasourceensoi.com/",53,30,28,"","2018-04-18","2022-11-23"
20,"","https://www.findglocal.com/CA/Montreal/1557649887781116/L%27Acad%C3%A9mie-p%C3%A9rinatale","https://www.lasourceensoi.com/",52,33,1,"http://www.lasourceensoi.com","2018-07-03","2018-10-20"
21,"","https://www.mamanpourlavie.com/evenements/calendrier/jour/55/annee/2012/page/2/area/0","https://www.lasourceensoi.com/",51,31,42,"cliquez ici","2016-07-19","2019-05-04"
22,"   Agenda - Érès
 ","https://www.editions-eres.com/agenda/voir/1196","https://www.lasourceensoi.com/",51,28,8,"www.lasourceensoi.com","2016-12-23","2026-02-14"
23,"","https://www.emoi-emoi.com/mag/guide-beaute/les-conseils-de-christel/","https://www.lasourceensoi.com/",51,28,1,"www.lasourceensoi.com","2020-05-03","2020-08-20"
24,"Danse orientale - Encyclopédie Wikimonde","https://wikimonde.com/article/Danse_orientale","https://lasourceensoi.com/le-baladi-une-facon-differente-de-se-preparer-a-laccouchement/",49,29,7,"le baladi une façon différente de se préparer à l'accouchement","2020-12-17","2026-04-13"
25,"Programmation | 6H En Coeur","https://www.jedonneenligne.org/encoeur/campagne/Courir6h/pages/programmation","https://lasourceensoi.com/",47,27,1,"la source en soi","2026-04-18","2026-04-18"
26,"Mode d'emploi pour un futur parent qui veut tout savoir! - TPL Moms","https://tplmoms.com/2014/09/12/mode-demploi-pour-un-futur-parent-qui-veut-tout-savoir/","https://www.lasourceensoi.com/contact/",45,26,2,"ici","2019-05-24","2026-04-20"
27,"Lasourceensoi.com - Avis clients","https://www.webwiki.fr/lasourceensoi.com","https://www.lasourceensoi.com/",44,33,7,"allez à lasourceensoi.com","2018-04-03","2026-01-17"
28,"","https://host.io/lasourceensoi.com","https://lasourceensoi.com/",43,31,30,"lasourceensoi.com","2019-11-23","2019-11-23"
29,"
	La Source en Soi - GOrendezvous
","https://www.gorendezvous.com/fr/lasourceensoi","https://lasourceensoi.com/",42,34,1,"  site web","2018-09-17","2026-04-05"
30,"","https://www.beautynailhairsalons.com/CA/Montreal/1138377499522904/C%C3%A9lia-Grenier-Massoth%C3%A9rapeute","https://lasourceensoi.com/",41,31,1,"http://lasourceensoi.com","2018-11-17","2018-11-17"
31,"ASSOCIATION SOURCE EN SOI avis | GoWork.FR","https://gowork.fr/association-source-en-soi-lille","https://lasourceensoi.com/",41,28,2,"lasourceensoi com","2026-03-17","2026-03-17"
32,"Podcast Parents pour la 1re fois par Véronique Lina | My Podcast Data","https://www.mypodcastdata.com/fr/podcast/show/parents-pour-la-1re-fois-veronique-lina-17mi","https://lasourceensoi.com/",41,20,7,"https://lasourceensoi.com/","2026-03-01","2026-03-01"
33,"Les relevailles : loin d’être démodées","https://gazettedesfemmes.ca/10645/les-relevailles-loin-detre-demodees/","https://www.lasourceensoi.com/",40,25,2,"la source en soi","2020-04-30","2026-04-02"
34,"","https://www.ourbis.ca/fr/b/QC/Montreal/La-Source-en-Soi/1000665.html","https://www.lasourceensoi.com/",39,31,23,"lasourceensoi.com","2022-04-05","2024-08-01"
35,"Annie Bouchard - Fédération québécoise des massothérapeutes agréés (FQM)","https://www.fqm.qc.ca/membre/annie-bouchard/","https://lasourceensoi.com/",39,24,1,"visitez mon site web","2018-10-08","2026-01-07"
36,"Centre d'information","https://plateforme.nourri-source.org/documents/view/281/405/L2RvY3VtZW50cy9kaXJlY3RvcnkvVzNzaVkyOXNkVzF1SWpvaVlXeHNJaXdpZEhsd1pTSTZJbXhwYTJVaUxDSjJZV3gxWlhNaU9pSnBibU5zZFdSbGZIQnZjM1F0Y0dGeWRIVnRJbjFkLzE=","https://lasourceensoi.com/allaitement-et-sexualite-quel-est-limpact-de-lun-sur-lautre-la-source-en-soi/",39,23,2,"https://lasourceensoi.com/allaitement-et-sexualite-quel-est-limpact-de-lun-sur-lautre-la-source-en-soi/","2024-07-31","2026-04-22"
37,"","https://www.podscan.fm/podcasts/parents-pour-la-1re-fois","https://lasourceensoi.com/",38,24,6,"la source en soi","2025-03-30","2025-09-20"
38,"Contacts du Kinésithérapeute Christine Poirier - 32430 Cologne","https://www.keskeces.com/kinesitherapeute/christine-poirier-32430-cologne.html","https://lasourceensoi.com/equipe/",37,28,2,"https://lasourceensoi.com/equipe/","2023-11-22","2024-12-13"
39,"","https://businessinstruct.com/porter-de-l-ail-sur-soi-k.html","https://lasourceensoi.com/wp-content/uploads/2017/06/garlic-139659_1920-300x300.jpg",36,20,76,"maman herboriste l'ail","2024-04-13","2024-04-13"
40,"","https://www.cylex-canada.ca/company/morency-rachel-23442103.html","https://lasourceensoi.com/",35,32,3,"website","2020-01-16","2020-07-16"
41,"","https://blog.merehelene.com/premier-atelier-montreal/","https://www.lasourceensoi.com/",35,25,1,"la source en soi","2016-06-07","2023-10-09"
42,"SAJE Directory » Companies » Centre m�res et cie par La source en soi","https://bottin.sajeenaffaires.org/en/companies/centre-meres-et-cie-par-la-source-en-soi.html","https://www.lasourceensoi.com/",35,23,39,"","2018-03-02","2018-03-02"
43,"","https://www.findhealthclinics.com/CA/Montreal/145405302640635/Tania-Barroso-Nadon%2C-D.O.","https://lasourceensoi.com/blog/?p=802",34,29,1,"http://wp.me/p4xwgi-cw","2021-04-03","2021-10-16"
44,"","https://www.link-de.com/search/cours-methode-bonapace","https://lasourceensoi.com/",34,28,21,"","2022-10-25","2022-10-25"
45,"Backlink Analyse www.bonapace.com » SEOkicks Backlinkcheck","https://www.seokicks.de/backlinks/www.bonapace.com","https://lasourceensoi.com/accueillir-bebe-plus-naturellement-accouche-en-couple-la-source-en-soi/",33,28,53,"http://lasourceensoi.com/accueillir-bebe-plus-naturellement-accouche-en-couple-la-source-en-soi/","2025-01-08","2025-01-08"
46,"Guide : Aborder son accouchement sereinement à Montréal","https://mauditsfrancais.ca/guide-aborder-accouchement-sereinement-montreal/","https://lasourceensoi.com/",33,25,10,"source en soi","2021-08-07","2026-03-28"
47,"","https://similars.net/top-websites/alternatives+kino+de","https://lasourceensoi.com/",32,28,11,"visit lasourceensoi.com","2022-10-25","2022-10-25"
48,"List of Acupuncture clinics in Quebec, Canada in 2026","https://www.poidata.io/report/acupuncture-clinic/canada/quebec","https://lasourceensoi.com/",32,21,1,"lasourceensoi.com","2026-03-04","2026-03-04"
49,"
            Retailers - Where to shop Flambette's scented good
","https://flambette.com/en/pages/retailers","https://lasourceensoi.com/",32,20,1,"https://lasourceensoi.com/","2026-01-02","2026-04-07"
50,"","https://www.nexdu.com/ca/brantford-on/business/la-source-en-soi-661069","https://www.lasourceensoi.com/",31,28,3,"website","2019-12-25","2021-05-20"
51,"","https://bild-lida.ca/blog/uncategorized/la-langue-des-signes-pour-bebes-outil-communicatif-ou-appropriation-culturelle/","https://lasourceensoi.com/activites/postnatales/langage-des-signes/",31,21,13,"ressources familiales ou périnatales","2018-05-12","2024-09-23"
52,"A la recherche d'un cours de yoga - Isabelle et Malik - accouchement prÃ©vu le 1 dÃ©cembre 2011","https://www.blog-grossesse.com/fleurbleueisa/306561-A-la-recherche-d-un-cours-de-yoga.aspx","https://www.lasourceensoi.com/nos-activites/prenatales/yoga-prenatal.html",30,25,7,"cliquez ici pour suivre le lien","2017-12-15","2026-02-24"
